code,year,happiness,food_insec,precipitation,indiv_free,gini,hdi,gdp_pc,family,corruption,air_deaths,life_expectancy,temperature,urbanization,covid,hri,suicides,taxes,schooling
KOR,2020,5.8455,81.414,6.804,21.963,54.6,90.115,83.6089,12.853226,-0.0007661551056603772,0.959,0.313,27.740856,0.922,42396.760535225,0.7,1274.0,0.934,11.684028
KOR,2019,5.8724,81.43,7.0343895,21.1625,54.6,90.115,83.6557,13.095931,0.114,0.959,0.313,27.234148,0.923,42758.58894761,0.6,1274.0,0.933,12.057
KOR,2018,5.8947,81.459,6.9229546,21.272,57.0,90.115,83.3427,12.579238,0.114,0.962,0.313,26.688515,0.919,41965.8891404357,0.5,1274.0,0.941,12.247689
KOR,2017,5.8749,81.503,6.8672976,19.3101,54.0,90.115,83.2855,12.667176,0.114,0.961,0.313,25.352396,0.916,40957.4166975738,0.5,1274.0,0.939,12.24
KOR,2016,5.838,81.562,6.863889,20.4869,53.0,90.115,82.9259,13.250403,0.114,0.949,0.31404856,24.741642,0.912,39814.6576047656,0.5,1274.0,0.893,12.057
KOR,2015,5.835,81.634,6.9082522,21.2004,54.0,90.115,82.5605,13.052048,0.114,0.949,0.313,23.736973,0.909,38828.7397072136,0.5,1274.0,0.893,12.057
KOR,2014,5.984,81.707,6.8047466,22.421,55.0,91.31426,82.3781,12.7143135,0.114,0.955,0.31192905,23.37991,0.906,37967.4743562192,0.586,1274.0,0.891,12.057
KOR,2011,5.643442,81.923,6.223969,27.8899,54.6,90.115,81.2098,11.934367,0.114,0.96,0.313,23.176025,0.896,35388.9757363635,0.586,1274.0,0.905,12.057
SSD,2019,2.8166,19.899,13.24584,6.69,12.75,,55.912,28.30591,,0.096,0.441,,0.393,0.0,63.0,900.0,0.193,2.396
SSD,2018,2.8526,19.615,13.080122,6.65,13.0,,55.9495,28.447786,,0.077,0.441,,0.395,0.0,63.7,900.0,0.139,2.5113463
SSD,2017,3.2542,19.346,12.946877,6.41,12.0,,55.3094,28.754974,,0.062,0.441,,0.395,0.0,65.4,900.0,0.126,2.28
SSD,2016,3.591,19.092,13.126133,6.48,11.0,,55.5437,28.887613,,0.082,0.44144127,,0.402,0.0,64.033,900.0,0.143,2.396
SSD,2015,3.832,18.852,13.155696,6.41,15.0,,55.5665,28.45577,,0.113,0.441,,0.412,0.0,64.033,900.0,0.181,2.396
ESP,2022,6.4362,80.035,2.86,5.56,58.2,87.27211,82.861,15.453,0.27693687892307695,0.977,0.353,35.278,0.894,40223.0125356769,1.586,636.0,0.955,10.653
ESP,2021,6.4763,81.056,2.86,5.56,58.2,89.21,83.01,14.289119,0.18881755476153844,0.971,0.353,38.94876,0.905,38319.2905451595,1.8,636.0,0.942,10.653
ESP,2020,6.4907,80.81,2.86,5.56,58.2,89.21,82.2892,14.711333,0.4353211234188679,0.971,0.3486563,37.55958,0.899,36051.4185775262,2.0,636.0,0.946,10.514696
