entity,food_insec,precipitation,indiv_free,happiness,gini,hdi,gdp_pc,corruption,air_deaths,life_expectancy,temperature,urbanization,hri,suicides,taxes,schooling
Switzerland,73.797,2.2961688,9.88,85.0,83.5615,6.86177,0.985,0.3314105,27.373043,0.959,69629.3366101135,0.7,1537.0,0.962,11.112429,7.4802
Syria,54.162,11.006091,2.1,13.0,70.145,20.305826,0.046,,,0.58,,,252.0,0.068,,3.4619
Tajikistan,27.134,16.065748,5.29,25.0,70.3532,0.4692203,0.193,,20.620892,0.671,3405.11357765998,,691.0,0.202,7.721502,5.4673
Tanzania,33.776,13.855004,8.04,36.0,66.5346,22.823593,0.748,0.4049123,11.699063,0.538,2511.82934570313,24.9,1071.0,0.689,4.474151,3.2307
Thailand,49.949,7.8760853,7.9,36.0,78.6622,26.450584,0.356,0.36412174,17.448473,0.795,17669.0455750573,0.7,1622.0,0.361,8.855771,6.008
Togo,41.702,14.75336,14.8774,30.0,60.244,27.160667,0.618,0.42534238,12.709543,0.528,2014.94172914438,16.9,1168.0,0.649,5.709833,4.0849
Trinidad and Tobago,53.184,7.098284,8.5,41.0,73.8018,26.076899,0.907,,17.65656,0.815,25864.9449662792,,2200.0,0.9,9.115808,6.1919
Tunisia,68.945,10.588053,3.09,43.0,75.9501,20.573936,0.817,,29.936901,0.743,11046.6818041618,9.7,207.0,0.804,6.368259,4.4606
Turkey,75.143,9.476702,2.25,41.0,77.5631,13.3263855,0.307,0.4187752,23.983484,0.839,,,593.0,0.319,8.864876,5.3726
Turkmenistan,51.593,10.997398,6.09,20.0,68.7963,17.183928,0.083,,,0.746,14321.1395723949,,161.0,0.122,,5.2467
Uganda,23.774,13.582474,10.2516,26.0,62.7139,23.275606,0.493,,11.076842,0.522,2186.90714698189,24.9,1180.0,0.436,4.3321576,4.1894
Ukraine,69.352,6.1747227,17.9939,32.0,74.4122,9.854163,0.64,0.26071486,32.579952,0.783,12336.9267578125,1.6,565.0,0.669,10.121033,4.3322
United Arab Emirates,86.522,12.470326,5.01,70.0,79.6274,28.955519,0.612,,15.647127,0.909,71550.5543294766,,78.0,0.411,9.717064,6.8245
United Kingdom,83.398,2.4520597,7.08,80.0,81.1254,9.709323,0.952,0.33691058,34.01664,0.929,46412.5401946736,1.3,1220.0,0.924,11.457277,7.0537
United States,82.256,2.013038,14.0916,71.0,78.9896,10.083236,0.93,0.41407844,25.457413,0.927,61348.4565959474,0.8,715.0,0.927,10.779745,6.8923
Uruguay,95.334,2.4128816,18.8463,70.0,77.611,17.97695,0.961,0.3968724,28.55011,0.819,23388.12900354,1.7,1300.0,0.952,8.650635,6.2933
Uzbekistan,50.478,14.627327,8.73,23.0,71.1494,13.452737,0.368,,22.255274,0.72,7118.20371242347,2.8,206.0,0.32,,6.1741
Venezuela,88.208,6.521531,2.21,18.0,71.9788,25.579857,0.234,,,0.738,,,2044.0,0.362,,4.7066
Vietnam,35.919,11.471998,7.37,33.0,73.9757,24.241007,0.499,0.35715547,14.995007,0.697,,0.5,1821.0,0.441,10.643042,5.1753
Yemen,36.642,12.665336,7.09,14.0,64.5751,25.719992,0.064,,,0.459,,9.5,167.0,0.121,4.1787615,3.3798
Zambia,43.521,11.249527,15.8985,35.0,62.3422,22.302795,0.648,,16.077042,0.572,3425.94893622826,26.2,1020.0,0.663,5.022243,4.1066
Zimbabwe,32.209,11.060707,23.8676,22.0,61.4141,21.90962,0.484,,13.533631,0.602,2399.62155096537,34.2,657.0,0.428,7.0066104,3.6632
Taiwan,,6.6038055,,63.0,80.5344,,0.961,,,,,,,0.946,,6.4462
Kosovo,,,,37.0,78.6959,11.533246,0.703,,23.441248,,10755.1675374977,,,0.797,7.9088855,6.1
Northern Cyprus,,,,,,,,,,,,,,,,5.7177
